序号	时间	西直	西左	东直	东左	南直	南左	北直	北左
0	3600	368	216	298	244	372	152	332	210	
1	7200	368	216	298	244	372	152	332	210	
2	10800	368	216	298	244	372	152	332	210	
3	14400	368	216	298	244	372	152	332	210	
4	18000	368	216	298	244	372	152	332	210	
5	21600	368	216	298	244	372	152	332	210	
6	25200	368	216	298	244	372	152	332	210	
7	28800	368	216	298	244	372	152	332	210	
8	32400	368	216	298	244	372	152	332	210	
9	36000	368	216	298	244	372	152	332	210	
10	39600	368	216	298	244	372	152	332	210	
11	43200	368	216	298	244	372	152	332	210	
12	46800	368	216	298	244	372	152	332	210	
13	50400	368	216	298	244	372	152	332	210	
14	54000	368	216	298	244	372	152	332	210	
15	57600	368	216	298	244	372	152	332	210	
16	61200	368	216	298	244	372	152	332	210	
17	64800	368	216	298	244	372	152	332	210	
18	68400	368	216	298	244	372	152	332	210	
19	72000	368	216	298	244	372	152	332	210	
20	75600	368	216	298	244	372	152	332	210	
21	79200	368	216	298	244	372	152	332	210	
22	82800	368	216	298	244	372	152	332	210	
23	86400	368	216	298	244	372	152	332	210	
24	999999	368	216	298	244	372	152	332	210	
